Runtime,Aspect_Ratio,Content_Rating_Score,Genre_Musical,Genre_Romance,Genre_Sport,Genre_Crime,Genre_Documentary,Genre_Film_Noir,Genre_Short,Genre_Fantasy,Genre_Horror,Genre_Comedy,Genre_Western,Genre_Thriller,Genre_War,Genre_Animation,Genre_Family,Genre_Mystery,Genre_Adventure,Genre_Drama,Genre_History,Genre_Biography,Genre_Sci_Fi,Genre_News,Genre_Action,Release_Month,Director_Avg_Movie_Revenue,Lead_Actor_Avg_Movie_Revenue,Budget,Lead_Actor_Name,Director_Name,Revenue,class
150,2.35,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,9,364,388,180,William Moseley,Andrew Adamson,748,2
144,2.35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,314,31,178,James McAvoy,Bryan Singer,543,1
152,2.35,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,7,414,372,185,Christian Bale,Christopher Nolan,1004,3
96,1.85,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,3,364,388,175,Ed Asner,Pete Docter,735,2
126,2.35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,7,340,388,140,Robert Downey Jr.,Jon Favreau,585,2
126,1.85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,3,100,74,170,Ben Kingsley,Martin Scorsese,185,1
106,1.85,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,313,338,170,Will Smith,Barry Sonnenfeld,222,1
112,2.35,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,9,200,171,145,Brendan Fraser,Rob Cohen,401,2
123,2.35,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,7,282,438,175,Will Smith,David Ayer,745,3
96,2.35,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,189,253,175,Steve Carell,Tom Shadyac,173,1
113,2.35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,9,191,336,178,Tom Cruise,Doug Liman,370,1
176,1.85,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,9,175,99,175,Kevin Costner,Kevin Reynolds,264,1
118,2.35,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,186,145,175,Dennis Quaid,Stephen Sommers,302,1
95,1.85,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,9,364,388,175,Amy Poehler,Pete Docter,857,2
124,2.35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,3,290,338,200,Robert Downey Jr.,Jon Favreau,623,1
132,2.35,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,314,338,170,Kristen Stewart,Rupert Sanders,396,1
97,2.35,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,7,364,265,180,Angelina Jolie,Robert Stromberg,754,2
130,1.85,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,9,343,388,170,Andy Serkis,Matt Reeves,710,2
128,2.35,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,150,165,175,Keanu Reeves,Carl Rinsch,150,1
136,2.35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,7,364,388,170,Chris Evans,Anthony Russo,714,2
93,2.35,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,3,361,388,165,Mike Myers,Mike Mitchell,752,2
130,2.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,9,314,104,190,Britt Robertson,Brad Bird,209,1
102,2.39,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,9,364,388,165,Scott Adsit,Don Hall,652,2
101,2.35,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,9,364,179,165,John C. Reilly,Rich Moore,471,2
100,2.35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,9,276,313,165,Tom Hanks,Robert Zemeckis,305,1
120,2.35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,2,314,338,165,Liam Hemsworth,Roland Emmerich,389,1
98,2.35,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,9,364,388,165,Jay Baruchel,Dean DeBlois,494,2
109,2.35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,202,178,200,Arnold Schwarzenegger,Jonathan Mostow,435,1
121,2.35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,7,414,438,170,Chris Pratt,James Gunn,773,3
169,2.35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,8,364,159,165,Matthew McConaughey,Christopher Nolan,675,2
